안심식당번호,시도명,시군구명,사업장명,정제도로명주소,정제지번주소,상세주소,업종명,업종상세명,전화번호,선정여부구분,취소일자,비고사항,수정일,정제우편번호,정제WGS84위도,정제WGS84경도
2435,경기도,남양주시,삼성웰스토리㈜비전힐스CC,경기도 남양주시 화도읍 마치로 226-220,경기도 남양주시 화도읍 녹촌리 산52-1번지,,일반음식점,한식,031-595-2003,Y,,,,12187,37.6480531710,127.2691557768
2436,경기도,남양주시,청춘다방,경기도 남양주시 평내로29번길 41,경기도 남양주시 평내동 578-3번지,평내메인프라자 101호,일반음식점_외,기타 음식점업,031-592-5858,Y,,,,12223,37.6454215274,127.2349761137
2437,경기도,남양주시,압소담,,경기도 남양주시 강변북로 632번길 23-41,,일반음식점,한식,02-558-5290,Y,,,,12268,,
2438,경기도,남양주시,동강의 향기,,경기도 남양주시 강변북로 632번길 27-71,,일반음식점,한식,031-528-0833,Y,,,,12268,,
2439,경기도,남양주시,나룻터,,경기도 남양주시 강변북로 632번길 251,,일반음식점,한식,031-555-5282,Y,,,,,,
2440,경기도,남양주시,초대,,경기도 남양주시 강변북로 632번길 6-451,,일반음식점,한식,031-555-7318,Y,,,,12268,,
2441,경기도,남양주시,한강,,경기도 남양주시 강변북로 632번길 6-441,1층,일반음식점_외,기타 음식점업,031-556-5561,Y,,,,12268,,
2442,경기도,남양주시,카페수석동198,,경기도 남양주시 강변북로 632번길 6-441,,일반음식점,한식,031-557-0661,Y,,,,12268,,
2443,경기도,남양주시,안채,경기도 남양주시 강변북로632번길 31,경기도 남양주시 수석동 162-2번지,,일반음식점,한식,031-557-3848,Y,,,,12268,37.5863450977,127.1730032006
2444,경기도,남양주시,시래마루 수석점,,경기도 남양주시 강변북로 632번길 91,,일반음식점,한식,031-566-3314,Y,,,,,,
2445,경기도,남양주시,삼다도,,경기도 남양주시 강변북로 632번길 161,,일반음식점,일식,031-566-5885,Y,,,,,,
2447,경기도,부천시,시골애(愛),경기도 부천시 중동로254번길 36,경기도 부천시 중동 1146번지,하이베라스 101호~102호,일반음식점,한식,032-654-0013,Y,,,,14548,37.5020205668,126.7710801530
2449,경기도,부천시,우리보쌈과만두전골(중동점),,경기도 부천시 소향로,"(주)부일상호신용금고 1층, 2층",일반음식점,한식,032-324-8686,Y,,,,,,
2450,경기도,부천시,참맛진숯불갈비,경기도 부천시 석천로177번길 16,경기도 부천시 중동 1163-11번지,"201호, 202호",일반음식점,한식,032-325-6464,Y,,,,14546,37.5035236772,126.7620258315
2452,경기도,부천시,세종가,경기도 부천시 상이로39번길 7-17,경기도 부천시 상동 603-5번지,1층,일반음식점,한식,032-323-6237,Y,,,,14593,37.4917686470,126.7432730999
2453,경기도,부천시,무등산추어탕,경기도 부천시 석천로25번길 40,경기도 부천시 상동 440-10번지,1층,일반음식점,한식,032-326-9292,Y,,,,14622,37.4900043386,126.7578490914
2455,경기도,부천시,북극돼지,경기도 부천시 상일로 96,경기도 부천시 상동 401번지,세원빌딩 201호,일반음식점,한식,070-8935-6314,Y,,,,14598,37.4913070227,126.7528815784
2457,경기도,부천시,미담,경기도 부천시 중동로254번길 70,경기도 부천시 중동 1143-2번지,"2층, 3층",일반음식점,한식,032-322-9222,Y,,,,14548,37.5017609862,126.7728362714
2459,경기도,부천시,(주)알트윈푸드 다쯔미 중동점,경기도 부천시 길주로 180,경기도 부천시 중동 1164번지,현대백화점 8층,일반음식점,일식,032-623-2832,Y,,,,14546,37.5043171668,126.7620745903
2460,경기도,부천시,(주)캘리스코사보텐현대중동점,경기도 부천시 길주로 180,경기도 부천시 중동 1164번지,현대백화점 8층,일반음식점,일식,032-623-2874,Y,,,,14546,37.5043171668,126.7620745903
2802,경기도,성남시,야탑골한방삼계탕,경기도 성남시 분당구 매화로38번길 6,경기도 성남시 분당구 야탑동 319-1번지,,일반음식점,한식,031-709-8599,Y,,,,13504,37.4107369184,127.1344892762
2804,경기도,성남시,춘향골남원추어탕,경기도 성남시 분당구 불정로77번길 1,경기도 성남시 분당구 정자동 140-9번지,,일반음식점,한식,031-714-9390,Y,,,,13612,37.3602189057,127.1131659247
2806,경기도,수원시,쿠우쿠우,경기도 수원시 팔달구 권광로187번길 23,경기도 수원시 팔달구 인계동 1042-5번지,3층,일반음식점_외,기타 음식점업,031-225-6274,Y,,,,16490,37.2645385009,127.0314160747
2808,경기도,수원시,트립아시아,경기도 수원시 영통구 도청로 10,경기도 수원시 영통구 이의동 1338번지,롯데아울렛 3층,일반음식점,기타외국식,031-8064-2316,Y,,,,16508,37.2865820892,127.0559743208
2810,경기도,수원시,쿠차라,경기도 수원시 영통구 광교중앙로 124,경기도 수원시 영통구 하동 871-1번지,광교 갤러리아백화점 9층,일반음식점,기타외국식,031-5174-7908,Y,,,,16514,37.2853339989,127.0572677088
2811,경기도,수원시,60계치킨,경기도 수원시 영통구 광교호수공원로 80,경기도 수원시 영통구 원천동 593번지 오피스텔,광교 엘리웨이 1층,일반음식점,기타외국식,0507-1412-9909,Y,,,,16514,37.2745483188,127.0607598697
2812,경기도,수원시,아벡데프리츠,경기도 수원시 영통구 광교호수공원로 80,경기도 수원시 영통구 원천동 593번지 오피스텔,광교 엘리웨이 1층,일반음식점,기타외국식,031-548-1920,Y,,,,16514,37.2745483188,127.0607598697
2813,경기도,수원시,에그드랍,경기도 수원시 영통구 광교호수공원로 80,경기도 수원시 영통구 원천동 593번지 오피스텔,광교 엘리웨이 1층,일반음식점,기타외국식,031-8019-8588,Y,,,,16514,37.2745483188,127.0607598697
2815,경기도,수원시,미미네,경기도 수원시 권선구 세화로 134,경기도 수원시 권선구 서둔동 381번지,롯데몰 수원점 3층,일반음식점,기타외국식,031-8066-1822,Y,,,,16621,37.2641013965,126.9973705173
2816,경기도,수원시,땀땀,경기도 수원시 영통구 광교중앙로 124,경기도 수원시 영통구 하동 871-1번지,광교 갤러리아백화점 B1층,일반음식점,기타외국식,031-5174-7017,Y,,,,16514,37.2853339989,127.0572677088
2818,경기도,수원시,지로나,경기도 수원시 영통구 광교호수공원로 80,경기도 수원시 영통구 원천동 593번지 오피스텔,3층,일반음식점,서양식,031-214-0669,Y,,,,16514,37.2745483188,127.0607598697
2820,경기도,수원시,한성돈까스,경기도 수원시 영통구 광교중앙로 124,경기도 수원시 영통구 하동 871-1번지,광교 갤러리아백화점 9층,일반음식점,서양식,,Y,,,,16514,37.2853339989,127.0572677088
2822,경기도,수원시,마잇다키친,경기도 수원시 영통구 도청로 10,경기도 수원시 영통구 이의동 1338번지,롯데아울렛 3층,일반음식점,서양식,031-8064-2308,Y,,,,16508,37.2865820892,127.0559743208
2824,경기도,수원시,달링키친,경기도 수원시 영통구 광교중앙로 124,경기도 수원시 영통구 하동 871-1번지,광교 갤러리아백화점 9층,일반음식점,서양식,031-5174-7904,Y,,,,16514,37.2853339989,127.0572677088
2825,경기도,수원시,달링키친 to go,,경기도 수원시 영통구 광교중앙로,광교갤러리아백화점 9층,일반음식점,서양식,,Y,,,,,,
2827,경기도,수원시,빕스 수원역사점,경기도 수원시 팔달구 덕영대로 924,경기도 수원시 팔달구 매산로1가 18번지,AK백화점 2층,일반음식점,서양식,031-240-1997,Y,,,,16622,37.2656360259,127.0000332550
2829,경기도,수원시,나고야스시덕,경기도 수원시 팔달구 권광로175번길 31-12,경기도 수원시 팔달구 인계동 1044-2번지,2층,일반음식점,일식,031-239-4000,Y,,,,16490,37.2633348487,127.0302055203
2830,경기도,수원시,스시덴고쿠,경기도 수원시 영통구 광교호수공원로 80,경기도 수원시 영통구 원천동 593번지 오피스텔,2층,일반음식점,일식,031-895-5799,Y,,,,16514,37.2745483188,127.0607598697
2832,경기도,수원시,어촌계,경기도 수원시 권선구 세화로 134,경기도 수원시 권선구 서둔동 381번지,롯데백화점 수원첨 7층,일반음식점,일식,031-8066-1819,Y,,,,16621,37.2641013965,126.9973705173
2834,경기도,수원시,후쿠오카 함바그,경기도 수원시 권선구 세화로 134,경기도 수원시 권선구 서둔동 381번지,롯데몰 수원점 3층,일반음식점,일식,031-8066-1821,Y,,,,16621,37.2641013965,126.9973705173
2836,경기도,수원시,히노키,경기도 수원시 영통구 도청로 10,경기도 수원시 영통구 이의동 1338번지,롯데아울렛 3층,일반음식점,일식,031-8064-2326,Y,,,,16508,37.2865820892,127.0559743208
2838,경기도,수원시,정돈,경기도 수원시 영통구 광교중앙로 124,경기도 수원시 영통구 하동 871-1번지,광교 갤러리아백화점 9층,일반음식점,일식,031-5174-7912,Y,,,,16514,37.2853339989,127.0572677088
2840,경기도,수원시,우동카덴,경기도 수원시 영통구 광교호수공원로 80,경기도 수원시 영통구 원천동 593번지 오피스텔,광교 엘리웨이 1층,일반음식점,일식,031-8067-6362,Y,,,,16514,37.2745483188,127.0607598697
2842,경기도,수원시,도꾸마마,경기도 수원시 권선구 세화로 134,경기도 수원시 권선구 서둔동 381번지,롯데몰 수원점 7층,일반음식점,일식,031-8066-0714,Y,,,,16621,37.2641013965,126.9973705173
2843,경기도,수원시,본가스시,경기도 수원시 영통구 광교중앙로 124,경기도 수원시 영통구 하동 871-1번지,광교 갤러리아백화점 9층,일반음식점,일식,031-5174-7907,Y,,,,16514,37.2853339989,127.0572677088
2329,경기도,고양시,본우리반상 원흥롯데점,경기도 고양시 덕양구 권율대로 420,경기도 고양시 덕양구 도내동 1003번지,롯데아울렛 1층,일반음식점,한식,031-8035-2722,Y,,,,10551,37.6295877482,126.8631057368
2330,경기도,고양시,일치프리아니 롯데아울렛고양점,경기도 고양시 덕양구 권율대로 420,경기도 고양시 덕양구 도내동 1003번지,롯데아울렛 1층,일반음식점,서양식,031-8035-2727,Y,,,,10551,37.6295877482,126.8631057368
2331,경기도,고양시,부엉이돈가스 고양점,경기도 고양시 덕양구 권율대로 420,경기도 고양시 덕양구 도내동 1003번지,롯데아울렛 1층,일반음식점,서양식,031-8035-2730,Y,,,,10551,37.6295877482,126.8631057368
2332,경기도,고양시,켄비멘리키,경기도 고양시 덕양구 권율대로 420,경기도 고양시 덕양구 도내동 1003번지,롯데아울렛 1층,일반음식점,일식,031-8035-2737,Y,,,,10551,37.6295877482,126.8631057368
2333,경기도,고양시,보인삼계탕,경기도 고양시 덕양구 화신로272번길 58,경기도 고양시 덕양구 화정동 972번지,309호,일반음식점,한식,031-970-9709,Y,,,,10500,37.6336616181,126.8321077585
2335,경기도,고양시,탄탄면공방(고양스타필드점),경기도 고양시 덕양구 고양대로 1955,경기도 고양시 덕양구 동산동 370번지,스타필드 쇼핑몰동 3층,일반음식점,일식,031-5173-3045,Y,,,,10595,37.6470962619,126.8948092677
2337,경기도,고양시,시골막국수,경기도 고양시 덕양구 고양대로 1955,경기도 고양시 덕양구 동산동 370번지,스타필드 쇼핑몰동 3층,일반음식점,한식,031-5173-3047,Y,,,,10595,37.6470962619,126.8948092677
2339,경기도,고양시,도토리편백집,경기도 고양시 덕양구 권율대로 420,경기도 고양시 덕양구 도내동 1003번지,롯데아울렛 1층,일반음식점,한식,031-8035-2748,Y,,,,10551,37.6295877482,126.8631057368
2341,경기도,고양시,본죽 원흥지구점,경기도 고양시 덕양구 도래울로 54,경기도 고양시 덕양구 도내동 1022번지,,일반음식점,한식,031-966-6289,Y,,,,10551,37.6306771328,126.8695903001
2342,경기도,고양시,바램,경기도 고양시 덕양구 동송로 33,경기도 고양시 덕양구 동산동 369번지,이편한세상시티삼송 1층 085호,일반음식점,한식,02-371-0212,Y,,,,10595,37.6495732412,126.8962401729
2344,경기도,고양시,안,경기도 고양시 일산동구 중앙로 1286,경기도 고양시 일산동구 마두동 816번지,고양아람누리 3층,일반음식점,한식,031-908-9889,Y,,,,10409,37.6605540504,126.7736143451
2346,경기도,고양시,힐사이드,경기도 고양시 일산동구 성석로 237-3,경기도 고양시 일산동구 성석동 641-7번지,,일반음식점,서양식,031-977-1276,Y,,,,10329,37.6982877566,126.7981562710
2348,경기도,고양시,한탄강,경기도 고양시 일산동구 성석로 91,경기도 고양시 일산동구 성석동 888-6번지,1층,일반음식점,한식,031-901-4492,Y,,,,10329,37.6877787079,126.7936846020
2350,경기도,고양시,니폰식(NipponChic),경기도 고양시 일산동구 강석로 9,경기도 고양시 일산동구 백석동 1293번지,자동차관련시설주식회사더한 10층,일반음식점,서양식,031-905-1001,Y,,,,10447,37.6443166943,126.7876580077
2352,경기도,고양시,경복궁백석점,경기도 고양시 일산동구 중앙로 1053,경기도 고양시 일산동구 백석동 1332-3번지,2층,일반음식점,한식,031-908-1445,Y,,,,10447,37.6434640859,126.7867706861
2354,경기도,고양시,본도시락(일산마두점),,경기도 고양시 일산동구 마두동 806번지 강촌마을6단지아파트,강촌마을상가동 B1-02호,일반음식점,한식,031-908-4282,Y,,,,10422,37.6496256078,126.7802502896
2355,경기도,고양시,스시오,경기도 고양시 일산동구 중앙로 1283,경기도 고양시 일산동구 장항동 784번지,롯데백화점 별관3층,일반음식점,일식,031-909-2527,Y,,,,10401,37.6604725838,126.7720959057
2357,경기도,고양시,T.G.I.F일산점,경기도 고양시 일산동구 중앙로 1283,경기도 고양시 일산동구 장항동 784번지,롯데백화점 10층,일반음식점,서양식,031-909-3720,Y,,,,10401,37.6604725838,126.7720959057
2359,경기도,고양시,(주)채선당월남쌈&amp;샤브샤브 롯데백화점일산점,경기도 고양시 일산동구 중앙로 1283,경기도 고양시 일산동구 장항동 784번지,롯데백화점 10층,일반음식점,한식,031-909-3919,Y,,,,10401,37.6604725838,126.7720959057
2361,경기도,고양시,상하이문,경기도 고양시 일산동구 위시티2로11번길 14-9,경기도 고양시 일산동구 식사동 1537-4번지,"1층, 2층",일반음식점,중식,031-966-1617,Y,,,,10323,37.6770935661,126.8127579175
2363,경기도,고양시,성석골남원추어탕,경기도 고양시 일산동구 약산길 50,경기도 고양시 일산동구 중산동 13-8번지,1층,일반음식점,한식,031-975-8030,Y,,,,10319,37.6832611387,126.7918561700
2364,경기도,고양시,박달재푸줏간,경기도 고양시 일산동구 중앙로 1283,경기도 고양시 일산동구 장항동 784번지,롯데백화점 지하2층,일반음식점,서양식,,Y,,,,10401,37.6604725838,126.7720959057
2365,경기도,고양시,제라진다이닝,경기도 고양시 일산동구 중앙로 1283,경기도 고양시 일산동구 장항동 784번지,롯데백화점 지하2층,일반음식점,한식,,Y,,,,10401,37.6604725838,126.7720959057
2366,경기도,고양시,(주)면채반,경기도 고양시 일산동구 중앙로 1283,경기도 고양시 일산동구 장항동 784번지,롯데백화점 지하2층,일반음식점,한식,,Y,,,,10401,37.6604725838,126.7720959057
2367,경기도,고양시,행복가마솥밥,경기도 고양시 일산동구 중앙로 1283,경기도 고양시 일산동구 장항동 784번지,롯데백화점 지하2층,일반음식점,한식,,Y,,,,10401,37.6604725838,126.7720959057
2369,경기도,고양시,토담골,경기도 고양시 일산서구 중앙로 1376,경기도 고양시 일산서구 주엽동 75번지 한양상가,강선마을상가동 B-2-21,일반음식점,한식,031-905-5592,Y,,,,10366,37.6672637278,126.7669498941
2371,경기도,고양시,포이유신짜오,경기도 고양시 일산서구 중앙로 1436,경기도 고양시 일산서구 주엽동 22번지,그랜드백화점 지하2층,일반음식점,한식,031-910-2076,Y,,,,10387,37.6708230588,126.7610298735
2373,경기도,고양시,두끼떡볶이 일산그랜드점,경기도 고양시 일산서구 중앙로 1436,경기도 고양시 일산서구 주엽동 22번지,그랜드백화점 지하2층,일반음식점,한식,031-921-2701,Y,,,,10387,37.6708230588,126.7610298735
2374,경기도,고양시,차봉호돈까스,경기도 고양시 일산서구 일산로803번길 6-6,경기도 고양시 일산서구 대화동 2304-1번지,,일반음식점,한식,031-911-3677,Y,,,,10383,37.6718540836,126.7473331367
2376,경기도,고양시,올리코(all RICO),경기도 고양시 일산서구 호수로856번길 7-16,경기도 고양시 일산서구 대화동 2301-12번지,1층,일반음식점,서양식,031-913-1324,Y,,,,10383,37.6714032353,126.7473036729
2378,경기도,고양시,한우놋곰탕,경기도 고양시 일산서구 호수로838번길 8-4,경기도 고양시 일산서구 대화동 2288-1번지,1층,일반음식점,한식,031-924-1999,Y,,,,10383,37.6699515839,126.7500510315
2380,경기도,고양시,108@돌삼겹,경기도 고양시 일산서구 탄중로 246,경기도 고양시 일산서구 탄현동 1592-2번지,,일반음식점,한식,031-911-1108,Y,,,,10345,37.6932392260,126.7726831056
2382,경기도,고양시,파스쿠찌 일산 DI,경기도 고양시 일산서구 일산로 646,경기도 고양시 일산서구 대화동 2031번지,2층,일반음식점,서양식,031-911-3220,Y,,,,10369,37.6825094706,126.7575683843
2384,경기도,고양시,마니산산채,경기도 고양시 일산서구 산남로 210,경기도 고양시 일산서구 가좌동 582번지,1층,일반음식점,한식,031-915-8712,Y,,,,10204,37.6998543670,126.7163318371
2386,경기도,고양시,훼미리부대찌개&amp;생삼겹,경기도 고양시 일산서구 성저로38번길 61,경기도 고양시 일산서구 대화동 2046-3번지,1층,일반음식점,한식,031-917-8881,Y,,,,10368,37.6832796981,126.7553605488
2388,경기도,고양시,청정칼국수쭈꾸미전문점,경기도 고양시 일산서구 대화로156번길 16,경기도 고양시 일산서구 대화동 774-4번지,,일반음식점,한식,031-925-2266,Y,,,,10222,37.6710658232,126.7368750601
2390,경기도,광주시,서가앤쿡,경기도 광주시 경안로 10,경기도 광주시 경안동 23번지,2층,일반음식점,서양식,031-768-1900,Y,,,,12756,37.4101918941,127.2594578006
2391,경기도,광주시,토끼정 경기광주점,경기도 광주시 경안로 10,경기도 광주시 경안동 23번지,3층,일반음식점,일식,031-768-3400,Y,,,,12756,37.4101918941,127.2594578006
2393,경기도,광주시,버거킹 광주경안점,경기도 광주시 경안로 10,경기도 광주시 경안동 23번지,1층,일반음식점,서양식,031-797-5010,Y,,,,12756,37.4101918941,127.2594578006
2395,경기도,광주시,동서소머리국밥,경기도 광주시 곤지암읍 곤지암로50번길 18,경기도 광주시 곤지암읍 곤지암리 443-15번지,,일반음식점,한식,031-763-1949,Y,,,,12804,37.3501783497,127.3395441541
2397,경기도,광주시,블루,경기도 광주시 곤지암읍 경충대로 544,경기도 광주시 곤지암읍 곤지암리 338-4번지,,일반음식점,서양식,0507-1312-7627,Y,,,,12812,37.3480897511,127.3483665911
2490,경기도,부천시,회랑,경기도 부천시 소향로253번길 25,경기도 부천시 중동 1137번지,정석프라자 2층,일반음식점,일식,032-322-3532,Y,,,,14548,37.5016695135,126.7755523991
2491,경기도,부천시,다온,경기도 부천시 소향로 233,경기도 부천시 중동 1144-5번지,2층,일반음식점,한식,032-322-1199,Y,,,,14548,37.5008748990,126.7738517559
2492,경기도,부천시,묵향,경기도 부천시 중동로254번길 104,경기도 부천시 중동 1138번지,호정프라자 206호,일반음식점,한식,032-322-3481,Y,,,,14548,37.5015377089,126.7746372805
2493,경기도,부천시,유에프오(어반푸드오피스),경기도 부천시 길주로 131,경기도 부천시 상동 538-5번지,부천호텔 1층,일반음식점,서양식,032-324-8182,Y,,,,14542,37.5059901141,126.7571930407
2494,경기도,부천시,명태어장,경기도 부천시 신흥로 250,경기도 부천시 중동 1061-2번지,함천빌딩 101호,일반음식점,한식,032-321-6774,Y,,,,14534,37.5059706970,126.7758389461
2495,경기도,부천시,아인,경기도 부천시 석천로184번길 12,경기도 부천시 중동 1158-1번지,삼성프라자 101호,일반음식점,기타외국식,032-322-7879,Y,,,,14547,37.5036138315,126.7634731089
2497,경기도,부천시,청학재,경기도 부천시 중동로248번길 105,경기도 부천시 중동 1138-1번지,207호,일반음식점,한식,032-324-5262,Y,,,,14548,37.5012675291,126.7746738346
2499,경기도,부천시,명륜진사갈비 상동점,,경기도 부천시 장말로,"정우프라자 1층, 2층",일반음식점,한식,032-328-6345,Y,,,,,,
2500,경기도,부천시,차이나몽,경기도 부천시 범안로 78,경기도 부천시 범박동 153-2번지,현대홈타운2단지 상가동 2층,일반음식점,한식,032-343-0082,Y,,,,14776,37.4748966720,126.8081786320
2462,경기도,부천시,힛더스팟(현대중동점),경기도 부천시 길주로 180,경기도 부천시 중동 1164번지,현대백화점 8층,일반음식점,서양식,032-623-2882,Y,,,,14546,37.5043171668,126.7620745903
2502,경기도,성남시,본죽,경기도 성남시 중원구 제일로 39,경기도 성남시 중원구 성남동 3786번지,1층,일반음식점,한식,031-721-6233,Y,,,,13368,37.4305191105,127.1364502526
2504,경기도,성남시,토박이,경기도 성남시 중원구 제일로 16,경기도 성남시 중원구 하대원동 113번지,2층,일반음식점,한식,031-751-3244,Y,,,,13386,37.4286848126,127.1379171697
2506,경기도,성남시,꽃게맨꽃게걸,경기도 성남시 중원구 산성대로 94,경기도 성남시 중원구 성남동 3207번지,2층,일반음식점,한식,031-757-9991,Y,,,,13355,37.4333373371,127.1296545913
2508,경기도,성남시,채선당 단대오거리점,경기도 성남시 중원구 산성대로 380,경기도 성남시 중원구 금광동 4394번지,201호,일반음식점,한식,031-731-4949,Y,,,,13179,37.4457259250,127.1578114439
2549,경기도,수원시,신라갈비,경기도 수원시 영통구 동수원로 538,경기도 수원시 영통구 원천동 89-7번지,,일반음식점,한식,031-212-2354,Y,,,,16518,37.2737747878,127.0492142019
2551,경기도,수원시,가보정,경기도 수원시 팔달구 장다리로 282,경기도 수원시 팔달구 인계동 958-1번지,,일반음식점,한식,1600-3883,Y,,,,16481,37.2742267822,127.0287166267
2553,경기도,수원시,쿠우쿠우 수원시청점,경기도 수원시 팔달구 권광로187번길 23,경기도 수원시 팔달구 인계동 1042-5번지,형만빌딩,일반음식점,한식,031-225-6274,Y,,,,16490,37.2645385009,127.0314160747
2554,경기도,수원시,청담이상 영통점,경기도 수원시 영통구 청명남로 32,경기도 수원시 영통구 영통동 1010-1번지,2층,일반음식점,한식,031-203-1267,Y,,,,16705,37.2524736337,127.0757276434
2556,경기도,시흥시,열린농원,경기도 시흥시 군자봉길 229,경기도 시흥시 군자동 656번지,1층,일반음식점,한식,,Y,,,,15000,37.3568396540,126.7874932364
2558,경기도,시흥시,방파제횟집,경기도 시흥시 오이도중앙로 82-1,경기도 시흥시 정왕동 2036-11번지,,일반음식점,일식,,Y,,,,15015,37.3410294594,126.6881384760
2560,경기도,시흥시,이학갈비,경기도 시흥시 범안로305번길 3,경기도 시흥시 계수동 113번지,1층~2층,일반음식점,한식,,Y,,,,14925,37.4558801679,126.8162797881
2561,경기도,시흥시,시흥감자탕(장곡점),경기도 시흥시 진말로 5,경기도 시흥시 장곡동 819-4번지,1층,일반음식점,한식,,Y,,,,15002,37.3777924290,126.7853297563
2563,경기도,시흥시,라무진,경기도 시흥시 서울대학로278번길 25-18,경기도 시흥시 정왕동 2517번지,102호,일반음식점,한식,,Y,,,,15010,37.3697689118,126.7291409130
2565,경기도,시흥시,뜨는청국장시대,경기도 시흥시 시청로72번길 16,경기도 시흥시 장현동 534-1번지,2층,일반음식점,한식,,Y,,,,14998,37.3816364080,126.8011069122
2566,경기도,시흥시,삼삼오오포차,경기도 시흥시 큰솔로 59-1,경기도 시흥시 정왕동 1519-1번지,,일반음식점,한식,,Y,,,,15051,37.3427604112,126.7538929212
