안심식당SEQ,시도코드,시도명,시군구명,사업장명,대표자명,안심식당지정일,주소1,주소2,업종,업종상세,전화번호, 선정여부,안심식당취소일,비고(웹사이트등),수정일,
17556,471000,경기도,구리시,핏제리아루카구리갈매점,이승연,2020-08-06,경기도 구리시 경춘북로 252, ,일반음식점,서양식, ,Y,null, ,2020-11-01,
17555,471000,경기도,구리시,풍어촌,정옥남,2020-08-06,경기도 구리시 벌말로 94 , ,일반음식점,한식,031-563-3232,Y,null, ,2020-11-01,
17554,471000,경기도,구리시,포앤덤,이영배,2020-08-06,경기도 구리시 안골로 43 , ,일반음식점,한식,031-563-0333,Y,null, ,2020-11-01,
17553,471000,경기도,구리시,포몬스,전정숙,2020-08-06,경기도 구리시 건원대로 3, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17552,471000,경기도,구리시,편백집롯데백화점구리점,안성민,2020-08-06,경기도 구리시 경춘로 261, ,일반음식점,한식,02-6052-5007,Y,null, ,2020-11-01,
17551,471000,경기도,구리시,팔당민물장어,김옥란,2020-08-06,경기도 구리시 건원대로 73, ,일반음식점,한식,031-554-4800,Y,null, ,2020-11-01,
17550,471000,경기도,구리시,파주닭국수구리갈매점,최영숙,2020-08-06,경기도 구리시 경춘북로 252, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17549,471000,경기도,구리시,파스타아미고,김병우외1명,2020-08-06,경기도 구리시 벌말로70번길 67, ,일반음식점,서양식,031-562-4357,Y,null, ,2020-11-01,
17548,471000,경기도,구리시,파머스테이블,최현석,2020-08-06,경기도 구리시 산마루로 14, ,일반음식점,한식,031-878-8855,Y,null, ,2020-11-01,
17547,471000,경기도,구리시,파로호매운탕,정공훈,2020-08-06,경기도 구리시 아차산로 415-1, ,일반음식점,한식,031-577-5419,Y,null, ,2020-11-01,
17546,471000,경기도,구리시,토평원조뼈다귀,한순일,2020-08-06,경기도 구리시 벌말로 194 , ,일반음식점,한식,031-554-4777,Y,null, ,2020-11-01,
17545,471000,경기도,구리시,토평낙지마당,박미향,2020-08-06,경기도 구리시 이문안로152번길 8, ,일반음식점,한식,031-555-5725,Y,null, ,2020-11-01,
17544,471000,경기도,구리시,태윤해물찜칼국수,선경희,2020-08-06,경기도 구리시 갈매중앙로 70 , ,일반음식점,한식,031-575-6344,Y,null, ,2020-11-01,
17543,471000,경기도,구리시,쿠치나디까사,황선민,2020-08-06,경기도 구리시 갈매중앙로 81-6 , ,일반음식점,서양식, ,Y,null, ,2020-11-01,
17542,471000,경기도,구리시,콩나물밥파전,김민진,2020-08-06,경기도 구리시 안골로97번길 17-22, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17541,471000,경기도,구리시,칼국수집입니다,장성자,2020-08-06,경기도 구리시 안골로63번길 42-3 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17540,471000,경기도,구리시,카츠젠,김영주,2020-08-06,경기도 구리시 장자대로 82, ,일반음식점,일식, ,Y,null, ,2020-11-01,
17539,471000,경기도,구리시,충남식당,권옥순,2020-08-06,경기도 구리시 안골로97번길 49-1 , ,일반음식점,한식,031-563-6178,Y,null, ,2020-11-01,
17538,471000,경기도,구리시,춘향골추어탕인창점,김향숙,2020-08-06,경기도 구리시 건원대로 85 , ,일반음식점,한식,031-556-1512,Y,null, ,2020-11-01,
17537,471000,경기도,구리시,초향,김민선,2020-08-06,경기도 구리시 안골로 4 , ,일반음식점,한식,031-551-0717,Y,null, ,2020-11-01,
17536,471000,경기도,구리시,초록면옥,김정애,2020-08-06,경기도 구리시 경춘로 261  , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17535,471000,경기도,구리시,청해진동태찜,최옥순외1명,2020-08-06,경기도 구리시 벌말로147번길 17, ,일반음식점,한식,031-566-7468,Y,null, ,2020-11-01,
17534,471000,경기도,구리시,청담화짬뽕,이기화,2020-08-06,경기도 구리시 산마루로 6, ,일반음식점,중식, ,Y,null, ,2020-11-01,
17533,471000,경기도,구리시,청기와생등심,김푸른이,2020-08-06,경기도 구리시 수택천로 20 , ,일반음식점,한식,031-555-1515,Y,null, ,2020-11-01,
17532,471000,경기도,구리시,천지연,추교성,2020-08-06,경기도 구리시 아차산로 47, ,일반음식점,한식,02-453-5111,Y,null, ,2020-11-01,
17531,471000,경기도,구리시,채부자전주콩나물국밥,설문정,2020-08-06,경기도 구리시 안골로 24-1, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17530,471000,경기도,구리시,참사랑,김경선,2020-08-06,경기도 구리시 안골로77번길 5, ,일반음식점,한식,031-551-2711,Y,null, ,2020-11-01,
17529,471000,경기도,구리시,참마루등촌칼국수,김응화,2020-08-06,경기도 구리시 경춘로 229, ,일반음식점,한식,031-550-6900,Y,null, ,2020-11-01,
17528,471000,경기도,구리시,짚신매운갈비찜(갈매점),정종영,2020-08-06,경기도 구리시 경춘북로 252, ,일반음식점,한식,031-516-6500,Y,null, ,2020-11-01,
17527,471000,경기도,구리시,진품참치,김효상,2020-08-06,경기도 구리시 이문안로136번길 7 , ,일반음식점,한식,031-562-3772,Y,null, ,2020-11-01,
17526,471000,경기도,구리시,주원식당,강연일,2020-08-06,경기도 구리시 동구릉로 387 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17525,471000,경기도,구리시,조선화로집구리점,이근현외1명,2020-08-06,경기도 구리시 벌말로 145 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17524,471000,경기도,구리시,조선육회,이애란,2020-08-06,경기도 구리시 안골로20번길 13, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17523,471000,경기도,구리시,제주해물탕,김연정,2020-08-06,경기도 구리시 갈매중앙로 70 210호 , ,일반음식점,한식,031-571-5045,Y,null, ,2020-11-01,
17522,471000,경기도,구리시,제주오름,이두영,2020-08-06,경기도 구리시 안골로63번길 48 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17521,471000,경기도,구리시,정통삼계탕,김미경,2020-08-06,경기도 구리시 이문안로136번길 7 , ,일반음식점,한식,031-555-3316,Y,null, ,2020-11-01,
17520,471000,경기도,구리시,정진식당,강경화,2020-08-06,경기도 구리시 아차산로500번길 15 , ,일반음식점,한식,031-557-6033,Y,null, ,2020-11-01,
17519,471000,경기도,구리시,정이품,최문경,2020-08-06,경기도 구리시 안골로 62 , ,일반음식점,한식,031-564-1919,Y,null, ,2020-11-01,
17518,471000,경기도,구리시,정을담은춘천골닭갈비,박용준,2020-08-06,경기도 구리시 갈매중앙로 89-8, ,일반음식점,한식,031-529-2347,Y,null, ,2020-11-01,
17517,471000,경기도,구리시,정열찌개낭만볶음,이주영,2020-08-06,경기도 구리시 갈매중앙로55번길 16-12, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17516,471000,경기도,구리시,전라도밥상,고희정,2020-08-06,경기도 구리시 갈매길 96 , ,일반음식점,한식,031-529-3954,Y,null, ,2020-11-01,
17515,471000,경기도,구리시,장혁민의부대찌개구리갈매점,윤태원,2020-08-06,경기도 구리시 경춘북로 252, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17514,471000,경기도,구리시,장자못궁중삼계탕,장유정,2020-08-06,경기도 구리시 장자호수길 62-4, ,일반음식점,한식,031-553-0303,Y,null, ,2020-11-01,
17513,471000,경기도,구리시,자연에서온추어탕,이병훈,2020-08-06,경기도 구리시 우미내길 4-1, ,일반음식점,한식,02-3436-5575,Y,null, ,2020-11-01,
17512,471000,경기도,구리시,일화식당,김연옥,2020-08-06,경기도 구리시 원수택로 11번길 40, ,일반음식점,한식,031-567-2496,Y,null, ,2020-11-01,
17511,471000,경기도,구리시,일등가구리갈매점,장성일,2020-08-06,경기도 구리시 산마루로 6, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17510,471000,경기도,구리시,인창해물아구찜,원종무,2020-08-06,경기도 구리시 건원대로 44 , ,일반음식점,한식,031-558-5989,Y,null, ,2020-11-01,
17509,471000,경기도,구리시,인기명(구리수택점),신지혜외1명,2020-08-06,경기도 구리시 체육관로 140 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17508,471000,경기도,구리시,이가네참숯풍천민물장어,나희순,2020-08-06,경기도 구리시 수택천로 15 , ,일반음식점,한식,031-566-5292,Y,null, ,2020-11-01,
17507,471000,경기도,구리시,육본한우,강진구,2020-08-06,경기도 구리시 이문안로 106 , ,일반음식점,한식,031-551-7212,Y,null, ,2020-11-01,
17506,471000,경기도,구리시,유명한집생선구이조림전문,김소정,2020-08-06,경기도 구리시 경춘로276번길 37 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17505,471000,경기도,구리시,유래등,이영자,2020-08-06,경기도 구리시 동구릉로 239, ,일반음식점,중식,031-551-7555,Y,null, ,2020-11-01,
17504,471000,경기도,구리시,원조뼈다귀,이청림,2020-08-06,경기도 구리시 갈매중앙로55번길 6-14, ,일반음식점,한식,031-572-5701,Y,null, ,2020-11-01,
17503,471000,경기도,구리시,워낭소리,주병철,2020-08-06,경기도 구리시 갈매중앙로 89-8, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17502,471000,경기도,구리시,우주,김옥분,2020-08-06,경기도 구리시 동구릉로53번길 86 , ,일반음식점,한식,031-552-3337,Y,null, ,2020-11-01,
17501,471000,경기도,구리시,우미관,정유정,2020-08-06,경기도 구리시 아차산로 57, ,일반음식점,한식,02-447-2848,Y,null, ,2020-11-01,
17500,471000,경기도,구리시,우리두리본점,김옥희,2020-08-06,경기도 구리시 안골로103번길 38 , ,일반음식점,한식,031-562-4797,Y,null, ,2020-11-01,
17499,471000,경기도,구리시,우리동네한식뷔페,김기찬,2020-08-06,경기도 구리시 갈매중앙로 83 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17498,471000,경기도,구리시,우리나라,정석재,2020-08-06,경기도 구리시 금강로6번길 3 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17497,471000,경기도,구리시,옹기종기동태탕,최상우,2020-08-06,경기도 구리시 경춘로242번길 31-13 , ,일반음식점,한식,031-566-3655,Y,null, ,2020-11-01,
17496,471000,경기도,구리시,옹기꽃게장,전홍배,2020-08-06,경기도 구리시 동구릉로 206, ,일반음식점,한식,031-555-0551,Y,null, ,2020-11-01,
17495,471000,경기도,구리시,옥화식당,이호재,2020-08-06,경기도 구리시 갈매순환로204번길 8-52, ,일반음식점,한식,031-572-7418,Y,null, ,2020-11-01,
17494,471000,경기도,구리시,옥화식당,허옥화외1명,2020-08-06,경기도 구리시 검배로 69, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17493,471000,경기도,구리시,오투닭갈비,김동환,2020-08-06,경기도 구리시 산마루로 12-11 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17492,471000,경기도,구리시,오씨네냉면만두,김영희,2020-08-06,경기도 구리시 장자대로13번길 53-30, ,일반음식점,한식,031-563-1882,Y,null, ,2020-11-01,
17491,471000,경기도,구리시,오백년누룽지백숙,배선희,2020-08-06,경기도 구리시 벌말로 73, ,일반음식점,한식,031-556-6501,Y,null, ,2020-11-01,
17490,471000,경기도,구리시,여우함박,여규정,2020-08-06,경기도 구리시 벌말로 67-6, ,일반음식점,한식,031-565-4727,Y,null, ,2020-11-01,
17489,471000,경기도,구리시,엄나무보쌈,유미정,2020-08-06,경기도 구리시 이문안로152번길 12 , ,일반음식점,한식,031-565-7088,Y,null, ,2020-11-01,
17488,471000,경기도,구리시,어죽나라,오순임,2020-08-06,경기도 구리시 체육관로171번길 21-4 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17487,471000,경기도,구리시,어울림,김윤기,2020-08-06,경기도 구리시 동구릉로 427, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17486,471000,경기도,구리시,양촌리,이종은,2020-08-06,경기도 구리시 경춘로244번길 12 , ,일반음식점,한식,031-558-5892,Y,null, ,2020-11-01,
17485,471000,경기도,구리시,양지해장국,김종이,2020-08-06,경기도 구리시 이문안로5번길 27 , ,일반음식점,한식,031-556-5108,Y,null, ,2020-11-01,
17484,471000,경기도,구리시,양기와푸드,문정희,2020-08-06,경기도 구리시 이문안로 156  , ,일반음식점,한식,031-564-0148,Y,null, ,2020-11-01,
17483,471000,경기도,구리시,안흥갈비,김진웅,2020-08-06,경기도 구리시 동구릉로 23  , ,일반음식점,한식,031-558-8292,Y,null, ,2020-11-01,
17482,471000,경기도,구리시,안다미로스시,공유환,2020-08-06,경기도 구리시 경춘로266번길 10 , ,일반음식점,일식, ,Y,null, ,2020-11-01,
17481,471000,경기도,구리시,아리랑갈비구리점,신성철,2020-08-06,경기도 구리시 아차산로 479, ,일반음식점,한식,031-558-1009,Y,null, ,2020-11-01,
17480,471000,경기도,구리시,쌈촌인창점,기현석,2020-08-06,경기도 구리시 건원대로34번길 17, ,일반음식점,한식,031-562-1616,Y,null, ,2020-11-01,
17479,471000,경기도,구리시,쌈촌수택직영점,장영근,2020-08-06,경기도 구리시 이문안로 70 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17478,471000,경기도,구리시,싹쓰리솥뚜껑김치삼겹살,최상균,2020-08-06,경기도 구리시 동구릉로136번길 37, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17477,471000,경기도,구리시,싱싱숙성참치,김영우,2020-08-06,경기도 구리시 검배로 22, ,일반음식점,일식, ,Y,null, ,2020-11-01,
17476,471000,경기도,구리시,심마니약초백숙(본점),박지언,2020-08-06,경기도 구리시 안골로 89 , ,일반음식점,한식,031-555-0855,Y,null, ,2020-11-01,
17475,471000,경기도,구리시,신의주찹쌀순대,최태림,2020-08-06,경기도 구리시 건원대로34번길 15, ,일반음식점,한식,031-566-8885,Y,null, ,2020-11-01,
17474,471000,경기도,구리시,신선설농탕,오청,2020-08-06,경기도 구리시 경춘로 187 , ,일반음식점,한식,031-554-3500,Y,null, ,2020-11-01,
17473,471000,경기도,구리시,스쿨푸드롯데아울렛구리점,박종은,2020-08-06,경기도 구리시 동구릉로136번길 47, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17472,471000,경기도,구리시,스시진,유해춘,2020-08-06,경기도 구리시 체육관로 156 , ,일반음식점,일식,031-555-8558,Y,null, ,2020-11-01,
17471,471000,경기도,구리시,숙이네아구찜,이혜미,2020-08-06,경기도 구리시 검배로60번길 19, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17470,471000,경기도,구리시,수갈비탕,최춘화,2020-08-06,경기도 구리시 경춘로227번길 42 , ,일반음식점,한식,031-553-9050,Y,null, ,2020-11-01,
17469,471000,경기도,구리시,수갈비탕,송은희,2020-08-06,경기도 구리시 이문안로 6 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17468,471000,경기도,구리시,속초해물아구찜.탕전문점,김현진,2020-08-06,경기도 구리시 이문안로 10 , ,일반음식점,한식,031-562-9320,Y,null, ,2020-11-01,
17467,471000,경기도,구리시,속초항,김현철,2020-08-06,경기도 구리시 벌말로 149, ,일반음식점,한식,031-564-7331,Y,null, ,2020-11-01,
17466,471000,경기도,구리시,소우담,하재연,2020-08-06,경기도 구리시 벌말로 81 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17465,471000,경기도,구리시,소리,이석노,2020-08-06,경기도 구리시 안골로63번길 42-15 , ,일반음식점,한식,031-567-4963,Y,null, ,2020-11-01,
17464,471000,경기도,구리시,소담촌구리갈매점,백주현,2020-08-06,경기도 구리시 갈매순환로 194, ,일반음식점,한식,031-575-1155,Y,null, ,2020-11-01,
17463,471000,경기도,구리시,소담촌,허무봉외1명,2020-08-06,경기도 구리시 이문안로 147, ,일반음식점,한식,031-557-0807,Y,null, ,2020-11-01,
17462,471000,경기도,구리시,서울매운탕,김지후,2020-08-06,경기도 구리시 이문안로 115, ,일반음식점,한식,031-552-2776,Y,null, ,2020-11-01,
17461,471000,경기도,구리시,서옹메밀막국수,서수경,2020-08-06,경기도 구리시 경춘로 73, ,일반음식점,한식,031-568-7006,Y,null, ,2020-11-01,
17460,471000,경기도,구리시,서가네우미참치정담은코다리,서보균외1명,2020-08-06,경기도 구리시 건원대로99번길 3, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17459,471000,경기도,구리시,생생해물탕,장순환,2020-08-06,경기도 구리시 검배로 41 , ,일반음식점,한식,031-568-9400,Y,null, ,2020-11-01,
17458,471000,경기도,구리시,생생아귀찜,장태훈,2020-08-06,경기도 구리시 검배로 41  , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17457,471000,경기도,구리시,상하이반점,문대주,2020-08-06,경기도 구리시 건원대로 45, ,일반음식점,중식,031-558-0700,Y,null, ,2020-11-01,
17456,471000,경기도,구리시,상우씨알탕,박현숙,2020-08-06,경기도 구리시 안골로103번길 43-5  , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17455,471000,경기도,구리시,삼국열전,정성모,2020-08-06,경기도 구리시 경춘로 261, ,일반음식점,한식,02-2135-7722,Y,null, ,2020-11-01,
17454,471000,경기도,구리시,삼겹싸롱구리돌다리점,김선중,2020-08-06,경기도 구리시 안골로63번길 47, ,일반음식점,한식,031-568-8383,Y,null, ,2020-11-01,
17453,471000,경기도,구리시,산짓골,노명숙,2020-08-06,경기도 구리시 체육관로 163-11, ,일반음식점,한식,031-565-1336,Y,null, ,2020-11-01,
17452,471000,경기도,구리시,뽈찜아구탕,임종호,2020-08-06,경기도 구리시 안골로97번길 37, ,일반음식점,한식,031-563-9268,Y,null, ,2020-11-01,
17451,471000,경기도,구리시,부타카츠롯데아울렛구리점,김미은,2020-08-06,경기도 구리시 동구릉로136번길 47, ,일반음식점,일식, ,Y,null, ,2020-11-01,
17450,471000,경기도,구리시,부안아구해물찜,임한연,2020-08-06,경기도 구리시 체육관로 147-3 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17449,471000,경기도,구리시,봉화화로,박진효,2020-08-06,경기도 구리시 건원대로 71 , ,일반음식점,한식,031-568-9233,Y,null, ,2020-11-01,
17448,471000,경기도,구리시,봉추찜닭구리인창점,정구성,2020-08-06,경기도 구리시 건원대로 44, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17447,471000,경기도,구리시,본풍천장어,양양우,2020-08-06,경기도 구리시 검배로48번길 18  , ,일반음식점,한식,031-565-2372,Y,null, ,2020-11-01,
17446,471000,경기도,구리시,보쌈제복구리갈매점,박정미,2020-08-06,경기도 구리시 갈매순환로204번길 26-5  , ,일반음식점,한식,031-528-5379,Y,null, ,2020-11-01,
17445,471000,경기도,구리시,별내대게하우스,김영숙,2020-08-06,경기도 구리시 불암로 14, ,일반음식점,한식,031-528-8452,Y,null, ,2020-11-01,
17444,471000,경기도,구리시,백한돈찹쌀순대,정혜경,2020-08-06,경기도 구리시 동구릉로136번길 35 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17443,471000,경기도,구리시,박정일코다리조림,박정일,2020-08-06,경기도 구리시 벌말로 81-10, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17442,471000,경기도,구리시,박서방춘천닭갈비토평점,박응재,2020-08-06,경기도 구리시 이문안로 150, ,일반음식점,한식,031-567-0131,Y,null, ,2020-11-01,
17441,471000,경기도,구리시,박서방춘천닭갈비,조영숙외1명,2020-08-06,경기도 구리시 안골로97번길 53 , ,일반음식점,한식,031-567-0031,Y,null, ,2020-11-01,
17440,471000,경기도,구리시,박경수숙성참치,박만수,2020-08-06,경기도 구리시 체육관로 140, ,일반음식점,일식, ,Y,null, ,2020-11-01,
17439,471000,경기도,구리시,박가네심마니산약초백숙,박순자,2020-08-06,경기도 구리시 안골로97번길 15 , ,일반음식점,한식,031-552-6795,Y,null, ,2020-11-01,
17438,471000,경기도,구리시,미채담샤브정롯데아울렛구리점,김선,2020-08-06,경기도 구리시 동구릉로136번길 47, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17437,471000,경기도,구리시,미사리밀빛초계국수(구리점),손근영,2020-08-06,경기도 구리시 동구릉로136번길 47, ,일반음식점,한식,031-8034-2614,Y,null, ,2020-11-01,
17436,471000,경기도,구리시,문상호속초코다리냉면,김지현,2020-08-06,경기도 구리시 금강로 29, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17435,471000,경기도,구리시,무쇠솥왕뚜껑삼겹살,이향란,2020-08-06,경기도 구리시 건원대로34번길 15, ,일반음식점,한식,031-557-9628,Y,null, ,2020-11-01,
17434,471000,경기도,구리시,무국식탁편백집갈매점,정종영,2020-08-06,경기도 구리시 경춘북로 252, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17433,471000,경기도,구리시,메이드인짬뽕,박수민외1명,2020-08-06,경기도 구리시 갈매중앙로 83, ,일반음식점,중식, ,Y,null, ,2020-11-01,
17432,471000,경기도,구리시,메밀랑,권영인,2020-08-06,경기도 구리시 아차산로 463 , ,일반음식점,한식,031-554-7080,Y,null, ,2020-11-01,
17431,471000,경기도,구리시,먹골촌,김석률,2020-08-06,경기도 구리시 아차산로 371, ,일반음식점,한식,031-555-2111,Y,null, ,2020-11-01,
17430,471000,경기도,구리시,먹고을전주콩나물국밥,김금희,2020-08-06,경기도 구리시 검배로 65, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17429,471000,경기도,구리시,망향비빔국수,이정학,2020-08-06,경기도 구리시 아차산로 348 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17428,471000,경기도,구리시,맛있는초밥,임석규,2020-08-06,경기도 구리시 장자대로86번길 14-18  , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17427,471000,경기도,구리시,만나식당,허철희,2020-08-06,경기도 구리시 갈매순환로204번길 8-46  , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17426,471000,경기도,구리시,마쯔,장윤주,2020-08-06,경기도 구리시 인창2로 13, ,일반음식점,일식,031-566-3456,Y,null, ,2020-11-01,
17425,471000,경기도,구리시,마장동한우촌,이영화,2020-08-06,경기도 구리시 벌말로 92 , ,일반음식점,한식,031-564-7777,Y,null, ,2020-11-01,
17424,471000,경기도,구리시,마마된장롯데백화점구리점,김형남,2020-08-06,경기도 구리시 경춘로 261, ,일반음식점,한식,02-6455-9818,Y,null, ,2020-11-01,
17423,471000,경기도,구리시,리하,김창기,2020-08-06,경기도 구리시 장자대로86번길 14-7, ,일반음식점,중식,031-551-6533,Y,null, ,2020-11-01,
17422,471000,경기도,구리시,리틀파스타인창점,고인주,2020-08-06,경기도 구리시 건원대로 44 , ,일반음식점,서양식,016-390-3328,Y,null, ,2020-11-01,
17421,471000,경기도,구리시,뚱보네닭볶음탕,이유경,2020-08-06,경기도 구리시 안골로103번길 50, ,일반음식점,한식,031-552-3070,Y,null, ,2020-11-01,
17420,471000,경기도,구리시,두메골,정종업,2020-08-06,경기도 구리시 동구릉로 335, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17419,471000,경기도,구리시,동원한방족발,임필준,2020-08-06,경기도 구리시 안골로 61 , ,일반음식점,한식,031-557-3338,Y,null, ,2020-11-01,
17418,471000,경기도,구리시,동원등갈비,이상태,2020-08-06,경기도 구리시 동구릉로136번길 37, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17417,471000,경기도,구리시,동동국수집롯데구리점,김영재,2020-08-06,경기도 구리시 경춘로 261, ,일반음식점,한식,031-550-7821,Y,null, ,2020-11-01,
17416,471000,경기도,구리시,동구릉착한떡갈비&돼지갈비,김종경,2020-08-06,경기도 구리시 동구릉로 197-5, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17415,471000,경기도,구리시,동구릉막국수,황인숙,2020-08-06,경기도 구리시 동구릉로 411-5, ,일반음식점,한식,031-529-9935,Y,null, ,2020-11-01,
17414,471000,경기도,구리시,돌뚝배기,이상민,2020-08-06,경기도 구리시 벌말로147번길 49, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17413,471000,경기도,구리시,돌다리집,박태희,2020-08-06,경기도 구리시 경춘로248번길 17 , ,일반음식점,한식,031-562-2882,Y,null, ,2020-11-01,
17412,471000,경기도,구리시,돌다리원조뼈다귀감자탕,신천연,2020-08-06,경기도 구리시 안골로103번길 54 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17411,471000,경기도,구리시,돌다리보쌈.칼국수,김남순외1명,2020-08-06,경기도 구리시 안골로77번길 36-2 , ,일반음식점,한식,031-557-9119,Y,null, ,2020-11-01,
17410,471000,경기도,구리시,돈까스클럽,남명자,2020-08-06,경기도 구리시 아차산로 338 , ,일반음식점,한식,031-551-8100,Y,null, ,2020-11-01,
17409,471000,경기도,구리시,도화,김훈,2020-08-06,경기도 구리시 벌말로 76 , ,일반음식점,한식,031-558-0998,Y,null, ,2020-11-01,
17408,471000,경기도,구리시,도원참치,김지완외1명,2020-08-06,경기도 구리시 벌말로147번길 39 , ,일반음식점,한식,031-555-3739,Y,null, ,2020-11-01,
17407,471000,경기도,구리시,도야족발,이성민,2020-08-06,경기도 구리시 원수택로 62 , ,일반음식점,한식,031-555-0903,Y,null, ,2020-11-01,
17406,471000,경기도,구리시,도시수산시장(연안식당),이범택,2020-08-06,경기도 구리시 건원대로 69, ,일반음식점,한식,031-563-6092,Y,null, ,2020-11-01,
17405,471000,경기도,구리시,델리커리구리롯데점,김민찬,2020-08-06,경기도 구리시 경춘로 261 , ,일반음식점,서양식, ,Y,null, ,2020-11-01,
